ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
60,0.006641409,9.0134e-08,0.0097,0.007806954,9.0134e-08,0.009,0.005399556,9.0134e-08,0.0105,0.003510256,9.0134e-08,0.0122,0.002888537,9.0134e-08,0.0133
61,0.006639777,9.7156e-08,0.0098,0.007577047,9.7156e-08,0.0093,0.005378256,9.7156e-08,0.0106,0.003584872,9.7156e-08,0.0122,0.003054089,9.7156e-08,0.013
62,0.006543081,1.0472e-07,0.0099,0.007416379,1.0472e-07,0.0095,0.005389608,1.0472e-07,0.0107,0.003538696,1.0472e-07,0.0123,0.003198293,1.0472e-07,0.0128
63,0.006366825,1.1288e-07,0.0102,0.007140116,1.1288e-07,0.0098,0.005443403,1.1288e-07,0.0108,0.003772335,1.1288e-07,0.012,0.003315172,1.1288e-07,0.0127
64,0.006228658,1.2168e-07,0.0104,0.006872804,1.2168e-07,0.0101,0.005362224,1.2168e-07,0.011,0.003824619,1.2168e-07,0.012,0.003418024,1.2168e-07,0.0126
65,0.00617707,1.3116e-07,0.0106,0.006643629,1.3116e-07,0.0103,0.005425392,1.3116e-07,0.011,0.003951243,1.3116e-07,0.012,0.00354502,1.3116e-07,0.0124
66,0.006074458,1.4138e-07,0.0108,0.006452325,1.4138e-07,0.0106,0.005420304,1.4138e-07,0.0111,0.003965799,1.4138e-07,0.012,0.003706191,1.4138e-07,0.0123
67,0.005831519,1.5239e-07,0.0111,0.006476109,1.5239e-07,0.0107,0.005430888,1.5239e-07,0.0113,0.004037079,1.5239e-07,0.012,0.003699327,1.5239e-07,0.0124
68,0.005803919,1.6426e-07,0.0112,0.006225574,1.6426e-07,0.011,0.005334012,1.6426e-07,0.0114,0.004189922,1.6426e-07,0.0119,0.003774939,1.6426e-07,0.0124
69,0.005680403,1.7706e-07,0.0115,0.00604219,1.7706e-07,0.0113,0.005317848,1.7706e-07,0.0116,0.004158662,1.7706e-07,0.012,0.003912075,1.7706e-07,0.0122
70,0.005576075,1.9085e-07,0.0117,0.006088186,1.9085e-07,0.0113,0.005202528,1.9085e-07,0.0118,0.004222418,1.9085e-07,0.0121,0.004006851,1.9085e-07,0.0122
